model,condition,frame,l2
rung3,none:0,0,1.133431315422058
rung3,none:0,1,1.120990514755249
rung3,none:0,2,0.9885357022285461
rung3,none:0,3,0.6860053539276123
rung3,none:0,4,0.5180904269218445
rung3,none:0,5,0.5220801830291748
rung3,none:0,6,0.3667575716972351
rung3,none:0,7,0.4241762161254883
rung3,none:0,8,0.34459665417671204
rung3,none:0,9,0.18220850825309753
rung3,none:0,10,0.8744752407073975
rung3,none:0,11,0.47162535786628723
rung3,none:0,12,0.37098872661590576
rung3,none:0,13,0.23937323689460754
rung3,none:0,14,0.382505863904953
rung3,none:0,15,0.30790966749191284
rung3,none:0,16,0.18928612768650055
rung3,none:0,17,0.2297673523426056
rung3,none:0,18,0.3853452205657959
rung3,none:0,19,0.3452150225639343
rung3,none:0,20,0.1671423614025116
rung3,none:0,21,0.18501555919647217
rung3,none:0,22,0.32122549414634705
rung3,none:0,23,0.3385286331176758
rung3,none:0,24,0.22911915183067322
rung3,none:0,25,0.24712446331977844
rung3,none:0,26,0.38104724884033203
rung3,none:0,27,0.4901214838027954
rung3,none:0,28,0.33581477403640747
rung3,none:0,29,0.22739136219024658
rung3,none:0,30,0.2680046260356903
rung3,none:0,31,0.4483790099620819
rung3,none:0,32,0.410401850938797
rung3,none:0,33,0.28092673420906067
rung3,none:0,34,0.30152392387390137
rung3,none:0,35,0.4620217978954315
rung3,none:0,36,0.472092866897583
rung3,none:0,37,0.2566239833831787
rung3,none:0,38,0.2648336887359619
rung3,none:0,39,0.4027530252933502
rung3,none:0,40,0.38423722982406616
rung3,none:0,41,0.21880871057510376
rung3,none:0,42,0.21341322362422943
rung3,none:0,43,0.3415902554988861
rung3,none:0,44,0.3090682327747345
rung3,none:0,45,0.09264901280403137
rung3,none:0,46,0.2107456624507904
rung3,none:0,47,0.4091130197048187
rung3,none:0,48,0.594925582408905
rung3,none:0,49,0.49997490644454956
rung3,none:0,50,0.6616281867027283
rung3,none:0,51,0.8151044845581055
rung3,none:0,52,0.2997521162033081
rung3,none:0,53,0.1821167916059494
rung3,none:0,54,0.4578709602355957
rung3,none:0,55,0.692124605178833
rung3,none:0,56,0.9609816074371338
rung3,none:0,57,1.4179326295852661
rung3,none:0,58,1.7899856567382812
rung3,none:0,59,1.068397045135498
rung3,none:0,60,0.7923974990844727
rung3,none:0,61,1.0775434970855713
rung3,none:0,62,0.2566263675689697
rung3,none:0,63,0.801029622554779
rung3,none:0,64,0.9946829676628113
rung3,none:0,65,1.3742941617965698
rung3,none:0,66,1.328202486038208
rung3,none:0,67,1.5877143144607544
rung3,none:0,68,2.018632411956787
rung3,none:0,69,2.3143224716186523
rung3,none:0,70,3.0807762145996094
rung3,none:0,71,0.6522681713104248
rung3,none:0,72,0.730309009552002
rung3,none:0,73,0.7812684774398804
rung3,none:0,74,0.48941361904144287
rung3,none:0,75,0.4874196946620941
rung3,none:0,76,0.6941664218902588
rung3,none:0,77,0.3921504616737366
rung3,none:0,78,0.17973704636096954
rung3,none:0,79,0.2740873396396637
rung3,none:0,80,0.560068666934967
rung3,none:0,81,0.5155805945396423
rung3,none:0,82,0.6259664297103882
rung3,none:0,83,0.7862291932106018
rung3,none:0,84,1.041677474975586
rung3,none:0,85,0.7478334307670593
rung3,none:0,86,0.5891417860984802
rung3,none:0,87,0.6338557600975037
rung3,none:0,88,0.626143753528595
rung3,none:0,89,0.5624030232429504
rung3,none:0,90,0.793527364730835
rung3,none:0,91,0.5008611679077148
rung3,none:0,92,0.2682644724845886
rung3,none:0,93,0.2026597261428833
rung3,none:0,94,0.09320014715194702
rung3,none:0,95,0.14370331168174744
rung3,none:0,96,0.15065348148345947
rung3,none:0,97,0.28780388832092285
rung3,none:0,98,0.22260728478431702
rung3,none:0,99,0.1813269406557083
rung3,none:0,100,0.3159998059272766
rung3,none:0,101,0.4907872974872589
rung3,none:0,102,0.38193079829216003
rung3,none:0,103,0.08670155704021454
rung3,none:0,104,0.232256218791008
rung3,none:0,105,0.4890120029449463
rung3,none:0,106,0.3269442617893219
rung3,none:0,107,0.12521252036094666
rung3,none:0,108,0.2372867912054062
rung3,none:0,109,0.40714961290359497
rung3,none:0,110,0.28102532029151917
rung3,none:0,111,0.09455409646034241
rung3,none:0,112,0.19085301458835602
rung3,none:0,113,0.32425281405448914
rung3,none:0,114,0.3662824034690857
rung3,none:0,115,0.11989325284957886
rung3,none:0,116,0.11501553654670715
rung3,none:0,117,0.3263167142868042
rung3,none:0,118,0.30764394998550415
rung3,none:0,119,0.22821275889873505
rung3,none:0,120,0.1320296972990036
rung3,none:0,121,0.17775467038154602
rung3,none:0,122,0.301204651594162
rung3,none:0,123,0.2519362270832062
rung3,none:0,124,0.11604831367731094
rung3,none:0,125,0.1841127723455429
rung3,none:0,126,0.3727855980396271
rung3,none:0,127,0.3515944480895996
rung3,none:0,128,0.13837233185768127
rung3,none:0,129,0.1897822767496109
rung3,none:0,130,0.3798186480998993
rung3,none:0,131,0.29220888018608093
rung3,none:0,132,0.18109193444252014
rung3,none:0,133,0.11131414771080017
rung3,none:0,134,0.444070428609848
rung3,none:0,135,0.22562167048454285
rung3,none:0,136,0.1477469503879547
rung3,none:0,137,0.13860464096069336
rung3,none:0,138,0.35914748907089233
rung3,none:0,139,0.35664501786231995
rung3,none:0,140,0.13670100271701813
rung3,none:0,141,0.13049493730068207
rung3,none:0,142,0.20078061521053314
