model,condition,batches,camera_share,gate_pref,obs_camera,obs_lidar,waypoint_l2
rung0,none:0,60,,,,,0.6909060570100943
rung0,camera:0.5,60,,,,,0.7308298622568449
rung0,camera:1.0,60,,,,,0.8184089288115501
rung0,lidar:0.5,60,,,,,0.7582673174639543
rung0,lidar:1.0,60,,,,,1.2883844961722692
rung1,none:0,60,0.35478480871145923,,,,0.49200947818656765
rung1,camera:0.5,60,0.346303248219192,,,,0.5369728446006775
rung1,camera:1.0,60,0.3489239867310971,,,,0.6747776669760545
rung1,lidar:0.5,60,0.35276624203349155,,,,0.5756006628274918
rung1,lidar:1.0,60,0.3485870866725842,,,,1.004560331751903
rung2,none:0,60,0.43227893887087704,,,,0.5545510669549306
rung2,camera:0.5,60,0.4330886240117252,,,,0.6669349029660225
rung2,camera:1.0,60,0.4389328126485149,,,,1.0925909367700417
rung2,lidar:0.5,60,0.4346039924149712,,,,0.7194905521969001
rung2,lidar:1.0,60,0.4364721807961663,,,,1.6432391266028086
rung2a,none:0,60,0.35566633380949497,,,,0.4424477890133858
rung2a,camera:0.5,60,0.34387980569154025,,,,0.46539117296536764
rung2a,camera:1.0,60,0.3273222983193894,,,,0.5678742033739884
rung2a,lidar:0.5,60,0.357501210924238,,,,0.4722392244885365
rung2a,lidar:1.0,60,0.3645584198646247,,,,0.6893303076426188
rung2b,none:0,60,0.4333242020569742,,0.9864478220542272,0.9154023806254069,0.5571191137035688
rung2b,camera:0.5,60,0.42570005329325794,,0.5264970282713572,0.9301531900962193,0.6008975500861804
rung2b,camera:1.0,60,0.4292131875641644,,0.118893630305926,0.9334444264570873,0.6944912513097127
rung2b,lidar:0.5,60,0.4350435360024373,,0.9888943543036779,0.4393860968450705,0.5712444561223189
rung2b,lidar:1.0,60,0.4373133764602244,,0.9931673735380173,0.05218929828455051,0.6665430121123791
rung3,none:0,60,0.4622122997418046,0.7504131351355076,0.9769994606574376,0.9446699768304825,0.5812162650128205
rung3,camera:0.5,60,0.29166836726944895,-2.1757885138193767,0.4042206585407257,0.9482952356338501,0.5848286176721255
rung3,camera:1.0,60,0.2081236427766271,-3.7336698308587075,0.056353765353560445,0.9506399254004161,0.6347689186533292
rung3,lidar:0.5,60,0.5670914725090067,2.6193287799755733,0.9859421849250793,0.4722855374217033,0.5984012457231681
rung3,lidar:1.0,60,0.6127170809855064,3.686649455378453,0.9655638267596562,0.0478477681055665,0.7996584358314673
rung4,none:0,60,0.4468711866376301,1.143344096262202,0.9647339036067327,0.9144634892543156,0.4411820271983743
rung4,camera:0.5,60,0.28775254589660715,-0.9994477035749393,0.4717970177531242,0.9435867389043172,0.4581246439367533
rung4,camera:1.0,60,0.19386694426842344,-2.5394540543357533,0.10493527154127756,0.9480130821466446,0.5157256236920754
rung4,lidar:0.5,60,0.49791934561605256,1.8836516536665537,0.9848998496929805,0.7060390358169873,0.456115651751558
rung4,lidar:1.0,60,0.5548428477408985,2.9280361511113977,0.981309395035108,0.08873282888283332,0.6183082080135743
