model,condition,n,r,slope,intercept,bias_sd,logratio_sd,note
rung3,none:0,15077,0.17859452962875366,1.207782506942749,1.2014172077178955,1.111801266670227,0.16440217196941376,
rung3,camera:0.5,15075,0.29551413655281067,2.869814157485962,-1.0428974628448486,1.5703614950180054,0.16170604526996613,
rung3,lidar:0.5,15073,-0.08200127631425858,-0.6697781682014465,5.120425224304199,1.3080631494522095,0.16014613211154938,
rung4,none:0,15077,-0.02990025281906128,-0.19813813269138336,2.402862787246704,1.089430809020996,0.16440217196941376,
rung4,camera:0.5,15075,0.21570301055908203,1.6023997068405151,0.45872461795806885,1.201264500617981,0.16170604526996613,
rung4,lidar:0.5,15073,-0.07180631160736084,-0.5004040002822876,3.5641751289367676,1.116031527519226,0.16014613211154938,
