model,condition,frame,l2
rung0,none:0,0,1.2339448928833008
rung0,none:0,1,1.1700286865234375
rung0,none:0,2,1.2428326606750488
rung0,none:0,3,0.6436014175415039
rung0,none:0,4,0.44095611572265625
rung0,none:0,5,1.0081562995910645
rung0,none:0,6,1.239272117614746
rung0,none:0,7,0.4286666512489319
rung0,none:0,8,0.5017629265785217
rung0,none:0,9,0.8315660357475281
rung0,none:0,10,0.7419010996818542
rung0,none:0,11,0.3526155352592468
rung0,none:0,12,0.1870330423116684
rung0,none:0,13,0.18910643458366394
rung0,none:0,14,0.14240339398384094
rung0,none:0,15,0.15873205661773682
rung0,none:0,16,0.26102495193481445
rung0,none:0,17,0.1899215430021286
rung0,none:0,18,0.20824375748634338
rung0,none:0,19,0.19647683203220367
rung0,none:0,20,0.4809439182281494
rung0,none:0,21,0.2833942770957947
rung0,none:0,22,0.19666053354740143
rung0,none:0,23,0.21550366282463074
rung0,none:0,24,0.3570798635482788
rung0,none:0,25,0.2502880096435547
rung0,none:0,26,0.2531975507736206
rung0,none:0,27,0.22362424433231354
rung0,none:0,28,0.33852419257164
rung0,none:0,29,0.2320084273815155
rung0,none:0,30,0.2803662419319153
rung0,none:0,31,0.18282634019851685
rung0,none:0,32,0.12021572887897491
rung0,none:0,33,0.2931700348854065
rung0,none:0,34,0.10289318859577179
rung0,none:0,35,0.11074262857437134
rung0,none:0,36,0.2466070055961609
rung0,none:0,37,0.3827535808086395
rung0,none:0,38,0.09713964909315109
rung0,none:0,39,0.19507761299610138
rung0,none:0,40,0.12597352266311646
rung0,none:0,41,0.5964493155479431
rung0,none:0,42,0.18090054392814636
rung0,none:0,43,0.14169436693191528
rung0,none:0,44,0.3407776653766632
rung0,none:0,45,0.6989873647689819
rung0,none:0,46,0.21645931899547577
rung0,none:0,47,0.1624765247106552
rung0,none:0,48,0.2717931568622589
rung0,none:0,49,0.460381418466568
rung0,none:0,50,0.5294942855834961
rung0,none:0,51,0.7975741028785706
rung0,none:0,52,0.7068897485733032
rung0,none:0,53,0.771133303642273
rung0,none:0,54,0.3378378748893738
rung0,none:0,55,0.6767227649688721
rung0,none:0,56,1.1458263397216797
rung0,none:0,57,1.9002397060394287
rung0,none:0,58,1.8492724895477295
rung0,none:0,59,2.077188491821289
rung0,none:0,60,2.217040538787842
rung0,none:0,61,2.410989761352539
rung0,none:0,62,0.7714266777038574
rung0,none:0,63,0.496139258146286
rung0,none:0,64,0.827158510684967
rung0,none:0,65,1.1336692571640015
rung0,none:0,66,2.100864887237549
rung0,none:0,67,2.48594331741333
rung0,none:0,68,2.202106237411499
rung0,none:0,69,2.9197354316711426
rung0,none:0,70,3.7338473796844482
rung0,none:0,71,1.5169695615768433
rung0,none:0,72,0.7400434017181396
rung0,none:0,73,0.6285574436187744
rung0,none:0,74,0.7140218615531921
rung0,none:0,75,0.8876051306724548
rung0,none:0,76,0.29389169812202454
rung0,none:0,77,0.25141921639442444
rung0,none:0,78,0.5283023715019226
rung0,none:0,79,0.11731337010860443
rung0,none:0,80,0.36463218927383423
rung0,none:0,81,0.39587873220443726
rung0,none:0,82,0.6232079267501831
rung0,none:0,83,0.6546121835708618
rung0,none:0,84,1.1915192604064941
rung0,none:0,85,0.7991883754730225
rung0,none:0,86,1.3542582988739014
rung0,none:0,87,0.9518873691558838
rung0,none:0,88,1.482103705406189
rung0,none:0,89,1.0256129503250122
rung0,none:0,90,0.6928449869155884
rung0,none:0,91,0.5546814203262329
rung0,none:0,92,0.18252509832382202
rung0,none:0,93,0.14118090271949768
rung0,none:0,94,0.13019409775733948
rung0,none:0,95,0.22727172076702118
rung0,none:0,96,0.3273312747478485
rung0,none:0,97,0.10080038011074066
rung0,none:0,98,0.1631542295217514
rung0,none:0,99,0.1839461475610733
rung0,none:0,100,0.15104994177818298
rung0,none:0,101,0.2291039526462555
rung0,none:0,102,0.2038826197385788
rung0,none:0,103,0.18744336068630219
rung0,none:0,104,0.19411735236644745
rung0,none:0,105,0.14340050518512726
rung0,none:0,106,0.3519981801509857
rung0,none:0,107,0.1560329645872116
rung0,none:0,108,0.2106662094593048
rung0,none:0,109,0.38415953516960144
rung0,none:0,110,0.3750884532928467
rung0,none:0,111,0.16547012329101562
rung0,none:0,112,0.23748819530010223
rung0,none:0,113,0.12344084680080414
rung0,none:0,114,0.131443053483963
rung0,none:0,115,0.34495866298675537
rung0,none:0,116,0.3300202488899231
rung0,none:0,117,0.11940383911132812
rung0,none:0,118,0.2563326060771942
rung0,none:0,119,0.24656403064727783
rung0,none:0,120,0.4548468589782715
rung0,none:0,121,0.28254854679107666
rung0,none:0,122,0.18066972494125366
rung0,none:0,123,0.2797510325908661
rung0,none:0,124,0.4999379813671112
rung0,none:0,125,0.5535973310470581
rung0,none:0,126,0.19600442051887512
rung0,none:0,127,0.16718336939811707
rung0,none:0,128,0.5758503675460815
rung0,none:0,129,0.27945148944854736
rung0,none:0,130,0.20588025450706482
rung0,none:0,131,0.23649820685386658
rung0,none:0,132,0.5253720879554749
rung0,none:0,133,0.32533934712409973
rung0,none:0,134,0.3332957625389099
rung0,none:0,135,0.15830102562904358
rung0,none:0,136,0.3039047122001648
rung0,none:0,137,0.2800726592540741
rung0,none:0,138,0.23499427735805511
rung0,none:0,139,0.24266688525676727
rung0,none:0,140,0.35244596004486084
rung0,none:0,141,0.4272836744785309
rung0,none:0,142,0.16590863466262817
rung0,none:0,143,0.15064789354801178
rung0,none:0,144,0.25207558274269104
rung0,none:0,145,0.35960304737091064
rung0,none:0,146,0.17555776238441467
rung0,none:0,147,0.23351874947547913
rung0,none:0,148,0.23992621898651123
rung0,none:0,149,0.4107590913772583
rung0,none:0,150,0.24602381885051727
rung0,none:0,151,0.35677027702331543
rung0,none:0,152,0.28598523139953613
rung0,none:0,153,0.31323757767677307
rung0,none:0,154,0.19080443680286407
rung0,none:0,155,1.4576996564865112
rung0,none:0,156,1.1353882551193237
rung0,none:0,157,1.0508410930633545
rung0,none:0,158,0.6789933443069458
rung0,none:0,159,0.6349912881851196
rung0,none:0,160,1.1934072971343994
rung0,none:0,161,1.2575273513793945
rung0,none:0,162,0.6771245002746582
rung0,none:0,163,0.7551552057266235
rung0,none:0,164,0.6698124408721924
rung0,none:0,165,0.42146289348602295
rung0,none:0,166,0.22512012720108032
rung0,none:0,167,0.3212744891643524
rung0,none:0,168,0.21085220575332642
rung0,none:0,169,0.20080016553401947
rung0,none:0,170,0.43186086416244507
rung0,none:0,171,0.3708418011665344
rung0,none:0,172,0.25084587931632996
