model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
dense_curriculum2,lidar,1.0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,182.9,723,47.8,0.778
dense_curriculum2,lidar,1.0,26456.xml,100.0,100,1.0,Completed,Town03,20,366.4,1561,130.5,0.69
dense_curriculum2,lidar,1.0,27532.xml,52.567163,57.37,0.916283,Failed - Agent deviated from the route,Town11,12,125.4,404,66.7,0.524
dense_curriculum2,lidar,1.0,28154.xml,49.121939,100,0.491219,Completed,Town10HD,22,601.7,2485,157.6,0.774
dense_curriculum2,camera,1.0,11755.xml,,,,NoResult,,,2700.1,1800,53.5,0.892
dense_curriculum2,camera,1.0,24071.xml,100.0,100,1.0,Completed,Town13,21,160.7,262,154.7,0.038
dense_curriculum2,camera,1.0,24258.xml,56.381307,100,0.563813,Completed,Town07,21,134.6,414,135.7,0.024
dense_curriculum2,camera,1.0,24795.xml,100.0,100,1.0,Completed,Town04,20,106.3,368,138.6,0.027
dense_curriculum2,camera,1.0,25439.xml,36.0,100,0.36,Completed,Town15,20,110.8,372,133.2,0.027
dense_curriculum2,camera,1.0,25857.xml,12.667169,41.33,0.306488,Failed - TickRuntime,Town05,10,869.1,3999,60.9,0.952
dense_curriculum2,camera,1.0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,120.3,437,47.7,0.587
dense_curriculum2,camera,1.0,26456.xml,8.983413,100,0.089834,Completed,Town03,25,389.0,1658,148.3,0.662
dense_curriculum2,camera,1.0,27532.xml,23.721198,100,0.237212,Completed,Town11,22,162.2,715,75.8,0.399
dense_curriculum2,camera,1.0,28154.xml,53.244842,100,0.532448,Completed,Town10HD,22,671.6,2759,159.7,0.793
