model,stage,epoch,train_objective
"deformable, diverse data",posttrain,14,0.1602660765609618
"deformable, diverse data",posttrain,15,0.22536524993284957
"deformable, diverse data",posttrain,16,0.21900987453682988
"deformable, diverse data",posttrain,17,0.20366235669130597
"deformable, diverse data",posttrain,18,0.19827262769221013
"deformable, diverse data",posttrain,19,0.19155104561061384
"deformable, diverse data",posttrain,20,0.16981378062953756
"deformable, diverse data",posttrain,21,0.16697533642687606
"deformable, diverse data",posttrain,22,0.15807889043242085
"deformable, diverse data",posttrain,23,0.15992923723049696
"deformable, diverse data",posttrain,24,0.15312538788573954
"deformable, diverse data",posttrain,25,0.14352509256272267
"deformable, diverse data",posttrain,26,0.13617053133325766
"deformable, diverse data",posttrain,27,0.13494037470817627
"deformable, diverse data",posttrain,28,0.13014552725991613
"deformable, diverse data",posttrain,29,0.12808121357066207
"deformable, diverse data",posttrain,30,0.12987853407665118
deformable + curriculum v2,pretrain,0,0.9606198040452354
deformable + curriculum v2,pretrain,1,0.7117812642009325
deformable + curriculum v2,pretrain,2,0.5406701880283675
deformable + curriculum v2,pretrain,3,0.5239115755223936
deformable + curriculum v2,pretrain,4,0.44252244050291045
deformable + curriculum v2,pretrain,5,0.38092095792263825
deformable + curriculum v2,pretrain,6,0.3593268183155822
deformable + curriculum v2,pretrain,7,0.40166735337909715
deformable + curriculum v2,pretrain,8,0.35865162457096295
deformable + curriculum v2,pretrain,9,0.33496320080371333
deformable + curriculum v2,pretrain,10,0.2973376856722146
deformable + curriculum v2,pretrain,11,0.2897759916739975
deformable + curriculum v2,pretrain,12,0.26470550973433665
deformable + curriculum v2,pretrain,13,0.25916782630625484
deformable + curriculum v2,pretrain,14,0.25404619045446597
deformable + curriculum v2,pretrain,15,0.30186962914049936
deformable + curriculum v2,pretrain,16,0.2867680074928103
deformable + curriculum v2,pretrain,17,0.2657344350431183
deformable + curriculum v2,pretrain,18,0.25837871482569524
deformable + curriculum v2,pretrain,19,0.25191825551552793
deformable + curriculum v2,pretrain,20,0.2386410999246628
deformable + curriculum v2,pretrain,21,0.227091158036836
deformable + curriculum v2,pretrain,22,0.22150453166909756
deformable + curriculum v2,pretrain,23,0.21177016870599705
deformable + curriculum v2,pretrain,24,0.20465768986583785
deformable + curriculum v2,pretrain,25,0.20000244817639315
deformable + curriculum v2,pretrain,26,0.19085054861168255
deformable + curriculum v2,pretrain,27,0.18323348184379173
deformable + curriculum v2,pretrain,28,0.18133120248629844
deformable + curriculum v2,pretrain,29,0.1829909954791985
deformable + curriculum v2,pretrain,30,0.17891977416519167
deformable + curriculum v2,posttrain,0,0.42623136764750064
deformable + curriculum v2,posttrain,1,0.3867883370288862
deformable + curriculum v2,posttrain,2,0.30972499063068426
deformable + curriculum v2,posttrain,3,0.34760661229341216
deformable + curriculum v2,posttrain,4,0.29116584108210725
deformable + curriculum v2,posttrain,5,0.2575010988383547
deformable + curriculum v2,posttrain,6,0.2399179603443479
deformable + curriculum v2,posttrain,7,0.2950886466706051
deformable + curriculum v2,posttrain,8,0.28116559519269363
deformable + curriculum v2,posttrain,9,0.26499031365719045
deformable + curriculum v2,posttrain,10,0.24095142767507294
deformable + curriculum v2,posttrain,11,0.23337830440947174
deformable + curriculum v2,posttrain,12,0.21162014167186818
deformable + curriculum v2,posttrain,13,0.20561250063531133
deformable + curriculum v2,posttrain,14,0.18956714115338133
deformable + curriculum v2,posttrain,15,0.241102247489064
deformable + curriculum v2,posttrain,16,0.24210128359898
deformable + curriculum v2,posttrain,17,0.23273764780555617
deformable + curriculum v2,posttrain,18,0.2217621298039857
deformable + curriculum v2,posttrain,19,0.2103368651238245
deformable + curriculum v2,posttrain,20,0.20473841958730912
deformable + curriculum v2,posttrain,21,0.19643495106841632
deformable + curriculum v2,posttrain,22,0.19336954927807845
deformable + curriculum v2,posttrain,23,0.18554023362908842
