model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds
rung0_lead,camera,1.0,24340.xml,19.55283,57.47,0.340227,Failed - Agent got blocked,Town10HD,13,904.5
rung0_lead,camera,1.0,24795.xml,10.09369,40.79,0.247455,Failed - TickRuntime,Town04,10,1955.8
rung0_lead,camera,1.0,24841.xml,18.896369,34.41,0.549153,Failed - Agent got blocked,Town01,9,1092.2
rung0_lead,camera,1.0,25300.xml,6.984353,22.02,0.317182,Failed - TickRuntime,Town04,6,2028.0
rung0_lead,camera,1.0,25439.xml,16.219724,31.09,0.521702,Failed - TickRuntime,Town15,7,1849.3
rung0_lead,camera,1.0,25845.xml,25.734,42.89,0.6,Failed - TickRuntime,Town15,8,2135.4
rung0_lead,camera,1.0,25854.xml,25.52745,60.42,0.4225,Failed - TickRuntime,Town03,13,2229.1
rung0_lead,camera,1.0,25857.xml,23.01,38.35,0.6,Failed - TickRuntime,Town05,7,2168.4
rung0_lead,camera,1.0,25928.xml,29.056872,100.0,0.290569,Completed,Town11,20,314.2
rung0_lead,camera,1.0,25951.xml,0.987091,95.5,0.010336,Failed - TickRuntime,Town04,29,1958.1
rung0_lead,camera,1.0,25968.xml,22.1715,34.11,0.65,Failed - Agent got blocked,Town07,8,1080.1
rung0_lead,camera,1.0,26405.xml,11.21199,31.78,0.3528,Failed - Agent got blocked,Town15,9,762.1
rung0_lead,camera,1.0,26406.xml,4.559718,32.38,0.140819,Failed - Agent got blocked,Town04,11,790.7
rung0_lead,camera,1.0,26456.xml,3.784896,50.52,0.074919,Failed - TickRuntime,Town03,14,2130.2
rung0_lead,camera,1.0,26956.xml,8.391041,72.88,0.115135,Failed - Agent got blocked,Town05,19,1150.0
rung0_lead,camera,1.0,27515.xml,17.561256,51.16,0.343261,Failed - Agent deviated from the route,Town03,12,209.6
rung0_lead,camera,1.0,27532.xml,17.830685,43.59,0.409054,Failed - Agent got blocked,Town11,11,708.1
rung0_lead,camera,1.0,27582.xml,6.026475,52.98,0.11375,Failed - Agent got blocked,Town11,14,673.8
rung0_lead,camera,1.0,28035.xml,14.5925,22.45,0.65,Failed - TickRuntime,Town01,5,2021.7
rung0_lead,camera,1.0,28154.xml,3.741833,100,0.037418,Completed,Town10HD,27,1421.3
