model,checkpoint,samples,term,value
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,loss_target_speed,0.027987
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,objective,0.135797
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,radar_loss,0.016932
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_bev_semantic,0.021309
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_center_net_heatmap,0.14541
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_center_net_offset,0.017876
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_center_net_velocity,0.086556
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_center_net_wh,0.013459
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_center_net_yaw_class,0.050226
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_center_net_yaw_res,0.00022
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_depth,3e-06
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_semantic,0.006438
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_spatial_route,0.052535
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_spatio_temporal_waypoints,0.072708
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,loss_target_speed,0.115938
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,objective,0.640108
diverse@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,4683,radar_loss,0.057431
