seed,stage,epoch,train_objective
seed0,pretrain,0,0.9898898857782873
seed0,pretrain,1,0.7256525820056069
seed0,pretrain,2,0.5444440996005285
seed0,pretrain,3,0.5366512535293192
seed0,pretrain,4,0.46311179001888475
seed0,pretrain,5,0.40107027683773977
seed0,pretrain,6,0.36735533148586047
seed0,pretrain,7,0.4130729061387707
seed0,pretrain,8,0.3747948123253704
seed0,pretrain,9,0.34995340846975714
seed0,pretrain,10,0.3103167286388414
seed0,pretrain,11,0.3067334720833036
seed0,pretrain,12,0.27623417485286056
seed0,pretrain,13,0.26310901192331776
seed0,pretrain,14,0.2600545368712382
seed0,pretrain,15,0.3020557295539172
seed0,pretrain,16,0.30064085258516715
seed0,pretrain,17,0.28202098159041317
seed0,pretrain,18,0.2622718250374156
seed0,pretrain,19,0.26760868113243114
seed0,pretrain,20,0.24467592963037532
seed0,pretrain,21,0.22740536361953004
seed0,pretrain,22,0.23255287563713528
seed0,pretrain,23,0.2175033001887737
seed0,pretrain,24,0.20924545242503786
seed0,pretrain,25,0.19435593434352288
seed0,pretrain,26,0.19689333143037402
seed0,pretrain,27,0.18777737610776057
seed0,pretrain,28,0.18504111387035568
seed0,pretrain,29,0.18449035437519293
seed0,pretrain,30,0.18079023416963105
seed1,pretrain,0,0.9814505126447178
seed1,pretrain,1,0.7488123733163488
seed1,pretrain,2,0.5762615217842818
seed1,pretrain,3,0.5631008584530384
seed1,pretrain,4,0.45330750750851
seed1,pretrain,5,0.4047947905643301
seed1,pretrain,6,0.37200764851927726
seed1,pretrain,7,0.4084890415573275
seed1,pretrain,8,0.3733633880474731
seed1,pretrain,9,0.3360128358002911
seed1,pretrain,10,0.3268624998400738
seed1,pretrain,11,0.2863606421719133
seed1,pretrain,12,0.27743134652429324
seed1,pretrain,13,0.2701228633622074
seed1,pretrain,14,0.25324819153680483
seed1,pretrain,15,0.29832911055528283
seed1,pretrain,16,0.30351987691971627
seed1,pretrain,17,0.2825878083418669
seed1,pretrain,18,0.2678148794769928
seed1,pretrain,19,0.24273145175199093
seed1,pretrain,20,0.24145543213009996
seed1,pretrain,21,0.2277829541780145
seed1,pretrain,22,0.2225634011345655
seed1,pretrain,23,0.21619165705663745
seed1,pretrain,24,0.21002317238123014
seed1,pretrain,25,0.20527523379607576
seed1,pretrain,26,0.19990093415897622
seed1,pretrain,27,0.18605685761732324
seed1,pretrain,28,0.17704605562077727
seed1,pretrain,29,0.17870333309710268
seed1,pretrain,30,0.17963574531786194
seed0,posttrain,0,0.41677104885705857
seed0,posttrain,1,0.39069863744026
seed0,posttrain,2,0.32898391748221245
seed0,posttrain,3,0.37692849958175934
seed0,posttrain,4,0.32003352376143407
seed0,posttrain,5,0.280202047887782
seed0,posttrain,6,0.260326854230223
seed0,posttrain,7,0.3086997482253461
seed0,posttrain,8,0.2954828969547554
seed0,posttrain,9,0.28932115706830547
seed0,posttrain,10,0.2542972405805331
seed0,posttrain,11,0.23062044346979998
seed0,posttrain,12,0.2247288478412001
seed0,posttrain,13,0.21334279568602849
seed0,posttrain,14,0.21232994334112684
seed0,posttrain,15,0.26083321482509647
seed0,posttrain,16,0.26319850191827543
seed0,posttrain,17,0.25928875040534016
seed0,posttrain,18,0.24824977639955517
seed0,posttrain,19,0.23435648311922502
seed0,posttrain,20,0.2278523953365132
seed0,posttrain,21,0.220741742702387
seed0,posttrain,22,0.20538319002999367
seed0,posttrain,23,0.18966545806511526
seed0,posttrain,24,0.1921381689169199
seed0,posttrain,25,0.1887950804488254
seed0,posttrain,26,0.1815188457565067
seed0,posttrain,27,0.1715461215755138
seed0,posttrain,28,0.17471802701982142
seed0,posttrain,29,0.17432707588320934
seed0,posttrain,30,0.16678332131335297
seed1,posttrain,0,0.42645339335714494
seed1,posttrain,1,0.4143034871028577
seed1,posttrain,2,0.31537605524368595
seed1,posttrain,3,0.36053967140245885
seed1,posttrain,4,0.3252685172564109
seed1,posttrain,5,0.28092277824915374
seed1,posttrain,6,0.25913426038011816
seed1,posttrain,7,0.30668755169771583
seed1,posttrain,8,0.3001844435082282
seed1,posttrain,9,0.280168307156373
seed1,posttrain,10,0.2528518885949191
seed1,posttrain,11,0.24180749541067648
seed1,posttrain,12,0.22249471642777174
seed1,posttrain,13,0.20771902118970173
seed1,posttrain,14,0.20693426217559696
seed1,posttrain,15,0.27479034396945834
seed1,posttrain,16,0.2639338523621224
seed1,posttrain,17,0.25650912446501983
seed1,posttrain,18,0.25180525375945123
seed1,posttrain,19,0.23176460075826022
seed1,posttrain,20,0.21850617249198395
seed1,posttrain,21,0.23422998451203764
seed1,posttrain,22,0.21417682214135927
seed1,posttrain,23,0.1990241886695243
seed1,posttrain,24,0.18993706129203794
seed1,posttrain,25,0.1823307545331924
seed1,posttrain,26,0.18015204739799628
seed1,posttrain,27,0.17975493856147295
seed1,posttrain,28,0.16837038934991544
seed1,posttrain,29,0.17374487963824473
seed1,posttrain,30,0.17576720270368937
