26-10-13 10:11:59 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:11:59 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:11:59 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:11:59 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:11:59 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:00 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:01 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:02 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:02 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:02 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
